product_id,product_name,category,subcategory,brand,price,cost,launch_date
PROD00001,PlayTime Smartphones 1,Electronics,Smartphones,FreshMart,62.49,40.11,2020-09-25
PROD00002,FreshMart Smartphones 2,Electronics,Smartphones,ActiveLife,680.84,276.23,2024-08-17
PROD00003,PrimeSelect Smartphones 3,Electronics,Smartphones,UrbanEdge,540.21,218.42,2019-12-10
PROD00004,PureNature Smartphones 4,Electronics,Smartphones,SwiftGear,417.95,332.99,2024-08-22
PROD00005,StyleHub Smartphones 5,Electronics,Smartphones,HomeEssence,476.87,300.06,2022-07-21
PROD00006,SwiftGear Laptops 6,Electronics,Laptops,SwiftGear,51.17,39.46,2023-07-18
PROD00007,ActiveLife Laptops 7,Electronics,Laptops,PureNature,399.83,324.27,2025-02-18
PROD00008,EcoChoice Laptops 8,Electronics,Laptops,UrbanEdge,881.57,405.87,2024-11-26
PROD00009,EcoChoice Laptops 9,Electronics,Laptops,GlowBeauty,411.63,291.08,2021-06-01
PROD00010,ValueMax Laptops 10,Electronics,Laptops,ReadWell,1109.86,459.66,2024-07-14
PROD00011,FreshMart Tablets 11,Electronics,Tablets,SwiftGear,22.38,9.02,2022-02-21
PROD00012,TechNova Tablets 12,Electronics,Tablets,SwiftGear,1108.03,451.03,2019-03-26
PROD00013,ActiveLife Tablets 13,Electronics,Tablets,PrimeSelect,1000.09,431.32,2021-07-27
PROD00014,FreshMart Tablets 14,Electronics,Tablets,EcoChoice,606.8,357.33,2019-07-24
PROD00015,PureNature Tablets 15,Electronics,Tablets,FreshMart,163.87,98.17,2019-05-30
PROD00016,TechNova Accessories 16,Electronics,Accessories,PureNature,89.11,71.47,2022-11-24
PROD00017,HomeEssence Accessories 17,Electronics,Accessories,FreshMart,650.13,487.61,2024-10-11
PROD00018,PlayTime Accessories 18,Electronics,Accessories,UrbanEdge,926.99,465.5,2022-04-25
PROD00019,PrimeSelect Accessories 19,electronics,Accessories,PlayTime,253.38,180.88,2020-08-27
PROD00020,PureNature Accessories 20,Electronics,Accessories,ReadWell,541.07,357.5,2018-06-05
PROD00021,StyleHub Audio 21,Electronics,Audio,ValueMax,601.54,286.23,2023-11-27
PROD00022,LuxCraft Audio 22,Electronics,Audio,UrbanEdge,1218.83,491.87,2024-11-03
PROD00023,ValueMax Audio 23,Electronics,Audio,EcoChoice,87.21,48.78,2025-02-08
PROD00024,PrimeSelect Audio 24,Electronics,Audio,ReadWell,525.45,271.9,2018-02-14
PROD00025,PlayTime Audio 25,Electronics,Audio,ReadWell,436.74,237.09,2021-04-21
PROD00026,PureNature Men 26,Clothing,Men,GlowBeauty,177.45,148.16,2024-04-27
PROD00027,PrimeSelect Men 27,Clothing,Men,TechNova,267.78,133.92,2021-04-10
PROD00028,GlowBeauty Men 28,Clothing,Men,HomeEssence,807.89,405.4,2021-02-12
PROD00029,GlowBeauty Men 29,Clothing,Men,TechNova,257.12,129.77,2024-10-09
PROD00030,HomeEssence Men 30,Clothing,Men,ReadWell,178.19,91.43,2020-12-06
